Model,Accuracy,Precision,Recall,F1 Score,CV F1 Score
Random Forest,0.9090909090909091,0.9138626524990162,0.9090909090909091,0.9090339485076327,0.9049015955036456
Logistic Regression,0.9318181818181818,0.9345238095238095,0.9318181818181818,0.9318181818181818,0.9046965337218479
Gradient Boosting,0.9090909090909091,0.9138626524990162,0.9090909090909091,0.9090339485076327,0.8994494082087288
SVM,0.9090909090909091,0.9155844155844156,0.9090909090909091,0.9111721611721613,0.883252644826649
Decision Tree,0.8863636363636364,0.9034090909090909,0.8863636363636364,0.8917179311916154,0.8813567181576131
